Country,IQ,Income,PenisLength,MaleHeight,MaleWeight,MaleBMI,BraSize,FemaleHeight,FemaleWeight,FemaleBMI,Stability,HumanRights,HealthServices,Safety,Climate,Costs,Popularity,Corruption,AvgLifeExpectancy,MaleLifeExpectancy,FemaleLifeExpectancy,BirthRate,DeathRate,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,FertilityRate,MaxCorporateTax,MaxPrivateTax,Happiness
Nauru,,,,1.69,93.0,32.4,,1.58,82.2,33.1,,,,,,,,,,,,,,,,,,,,25,0,
Nepal,51,595,,1.64,60.5,22.5,0,1.52,51.6,22.3,55,36,36,84,57,100,44,66,68.45,66.6,70.4,20.4,7.8,,,,,,1.9,30,36,5.36
Netherlands,101,45337,15.87,1.84,87.9,26.1,2.5,1.70,73.2,25.3,80,99,83,95,21,25,57,20,81.46,79.9,83.1,10.2,9.8,,,,,,1.6,25,49.50,7.40
New Zealand,99,30141,13.99,1.78,88.9,28.2,2,1.65,75.9,28.0,90,100,81,97,36,9,56,13,82.21,80.5,84.0,11.5,6.8,41.0,57.2,54.1,53.9,50.5,2,28,39,7.12
Nicaragua,59,,,,,,,,,,43,14,44,66,61,89,32,81,73.84,,,,,,,,,,1.7,30,0,6.26
Niger,69,434,,1.69,61.1,21.4,0,1.59,56.6,22.3,16,23,12,44,53,79,25,68,61.58,60.4,62.8,45.3,8.1,,,,,,6.9,30,0,4.50
Nigeria,68,1752,14.38,1.70,65.1,22.6,0,1.58,59.7,24.0,24,23,12,44,53,54,25,76,52.68,52.3,53.1,37.1,13.1,59.3,56.2,57.3,46.2,49.5,5.4,30,24,4.98
Niue,,,,1.77,98.8,31.5,,1.67,92.6,33.4,,,,,,,,,,,,,,,,,,,,0,0,
Nort Macedonia,84,,13.98,,,,,,,,52,48,68,89,58,85,30,60,74.54,,,,,,,,,,1.5,10,18,5.25
North Korea,100,,,1.74,73.1,24.2,,1.61,61.9,24.0,,,,,,,,83,73.28,70.8,75.7,13.2,9.3,,,,,,1.9,25,20,
Norway,98,75130,14.34,1.80,89.1,27.4,3.5,1.66,72.6,26.2,90,99,90,96,16,1,51,16,83.16,81.7,84.7,10.4,7.8,,,,,,1.6,23,46.4,7.32
Oman,80,15328,,,,,,,,,69,45,54,86,44,74,19,,72.54,71.0,74.7,18.4,3.8,,,,,,2.9,15,0,
Pakistan,81,985,12.20,1.67,64.7,23.3,1,1.54,58.9,24.7,21,26,29,63,72,100,41,73,66.10,63.8,68.6,27.5,7.2,,,,,,3.5,29,35,4.55
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91
Panama,,,,,,,,,,,,,,,,,,,,73.1,79.6,17.7,6.1,,,,,,2.5,25,27,6.26
Palau,,,,1.70,86.0,29.6,,1.59,75.4,29.7,,,,,,,,,,,,,,,,,,,2.2,0,0,
Paraguay,84,,15.53,,,,1,,,,54,34,43,76,78,86,33,72,70.26,,,,,,,,,,2.4,10,10,5.74
Peru,81,,,,,,0.5,,,,51,42,46,77,60,72,39,,72.38,,,,,54.9,51.0,47.9,47.8,43.0,2.3,30,30,5.53
Philippines,83,2330,10.85,1.65,61.8,22.8,0,1.54,55.5,23.5,48,38,40,70,49,88,37,67,69.27,67.2,71.5,21.8,7.3,43.0,55.3,53.3,53.9,52.3,2.6,30,35,5.52
Poland,96,10505,14.29,1.80,89.0,27.4,2.5,1.65,71.5,26.1,61,65,77,93,27,76,63,45,75.60,71.7,79.7,8.8,13.8,58.0,47.2,46.5,45.3,46.8,1.5,19,45,6.26
