Country,Population,Fertility,IQ,Income,PenisLength,MaleHeight,MaleWeight,MaleBMI,BraSize,FemaleHeight,FemaleWeight,FemaleBMI,Stability,HumanRights,HealthServices,Safety,Climate,Cheapness,Popularity,Corruption,AvgLifeExpectancy,MaleLifeExpectancy,FemaleLifeExpectancy,BirthRate,DeathRate,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,MaxCorporateTax,MaxPrivateTax,Happiness,Divorces,Homicide,SexualPartners,Religiosity
El Salvador,6364943,1.8,69.63,2912,14.88,1.70,77.8,26.9,0.5,1.56,68.8,28.3,55,35,43,41,66,74,22,69,70.75,66.1,75.1,16.0,8.7,,,,,,30,30,61.2,0.8,52.02,,85
Equatorial Guine,1714671,4.1,56,7625,,,,,,,,,,,,,,,,83,60.59,,,,,,,,,,35,35,,,,,
Eritrea,3748901,3.7,68.77,,,1.70,58.8,20.3,0,1.57,52.2,21.1,,,,,,,,79,66.54,,,,,,,,,,34,0,,,,,
Estonia,1322765,1.7,100.72,13770,,1.82,89.9,27.0,1.5,1.68,73.7,26.0,71,90,78,90,17,46,48,24,76.74,72.4,81.3,10.0,14.0,51.0,38.1,43.3,45.3,55.9,0,58.4,64.6,1.9,2.12,,6
Eswatini,1210822,2.8,68.87,,,,,,,,,,,,,,,,,70,57.07,,,,,,,,,,27.5,0,44,,11.56,,
Ethiopia,126527060,4.0,68.42,379,,1.68,56.5,20.1,0.5,1.57,51.6,21.0,16,29,12,38,81,96,26,63,64.97,61.9,68.3,32.4,6.8,50.2,46.2,51.2,55.9,49.1,30,35,40.9,,8.79,,98
Fiji,936375,2.4,83.96,,,,,,,,,,,,,,,,,48,,65.4,68.9,19.3,8.9,,,,,,20,20,,,2.31,,
Finland,5545475,1.4,101.2,42706,13.77,1.80,86.3,26.6,2.5,1.66,71.0,25.7,86,100,87,96,17,16,52,13,81.93,79.3,84.7,9.0,10.4,,,,,,20,66.75,78,2.4,1.63,12.4,10
France,64756584,1.8,96.69,37610,15.74,1.78,82.6,26.0,1.5,1.64,66.0,24.4,73,85,91,85,41,31,84,29,82.32,79.3,85.5,10.9,9.7,54.6,46.9,51.5,46.9,50.0,26.5,49,66.6,1.9,1.20,8.1,11
French Polynesia,309304,1.7,,,,1.78,93.8,29.6,,1.66,81.3,29.5,,,,,,,,,83.70,,,,,,,,,,25,0,,,0.38,,
Gabon,2436566,3.4,62.97,,,,,,0,,,,,,,,,,,72,65.82,,,,,,,,,,35,35,50.4,,,,
Gambia,2773168,4.5,52.68,648,,,,,,,,,49,36,21,73,57,92,25,63,62.08,,,,,,,,,,31,30,42.8,,,,
Georgia,3728282,2.1,84.5,2901,15.61,1.75,84.2,27.5,2,1.63,73.2,27.7,52,62,63,80,45,88,27,47,71.69,66.8,76.7,13.4,15.2,,,,,,0,0,51.1,2.1,2.22,,51
Germany,83294633,1.5,100.74,39911,14.52,1.80,88.7,27.4,1.5,1.66,71.7,26.0,82,95,96,96,21,33,64,22,80.90,78.5,83.4,9.6,12.3,50.9,44.7,43.7,45.8,59.5,29.65,47.475,68.9,1.7,0.95,5.8,10
Ghana,34121985,3.5,58.16,1166,,1.69,64.9,22.6,0.5,1.59,63.3,25.2,42,49,25,88,56,99,29,57,63.80,61.6,66.0,27.5,7.6,,,,,,25,0,46.1,,2.09,,89
Greece,10341277,1.4,90.77,21101,13.30,1.79,88.1,27.6,1.5,1.65,73.7,26.9,57,63,87,87,70,52,45,51,80.18,77.5,83.0,8.0,13.5,,,,,,22,44,59.3,1.8,0.94,10.6,56
Greenland,56643,1.9,98.89,24486,,,,,1,,,,,,,,,,,,71.15,,,,,,,,,,28,0,,,5.32,,
Grenada,126183,2.0,79.34,,,1.78,79.3,25.1,,1.65,78.7,28.8,,,,,,,,47,74.94,,,,,,,,,,28,0,,1.1,10.82,,
Guatemala,18092026,2.3,47.72,2830,,1.64,69.1,25.7,,1.51,61.9,27.3,51,26,35,61,49,61,33,77,69.24,,,,,,,,,,25,7,61.5,0.2,22.50,,89
Guinea,14190612,4.2,53.48,,,,,,0,,,,36,19,6,66,55,71,26,74,,,,,,,,,,,25,0,50.7,,1.15,,91
Guinea-Bissau,2150842,3.8,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,35,0,,,,,
Guyana,813834,2.3,83.23,,,,,,,,,,,,,,,,,60,,,,,,,,,,,30,40,,,14.25,,
Haiti,11724763,2.7,82.1,,16.01,1.72,78.0,26.4,,1.60,62.1,24.2,,,,,,,,83,63.19,60.4,66.1,23.5,8.7,,,,,,30,30,,,6.68,,
Honduras,10593798,2.3,62.16,,,,,,,,,,43,24,35,40,83,75,29,77,70.12,,,,,,,,,,25,0,60.2,,38.93,,90
Hong Kong,7491609,0.8,105.37,35304,11.19,1.74,74.4,24.5,,1.60,61.1,23.8,81,82,100,99,49,44,47,25,85.49,83.2,87.9,5.0,6.9,55.9,48.0,45.5,42.4,53.0,16.5,15,53.1,,0.65,3.7,
Hungary,10156239,1.6,99.24,11391,14.99,1.76,87.6,28.2,2,1.62,70.1,26.6,65,56,79,96,43,71,57,58,74.47,71.1,78.0,9.7,16.1,57.3,42.0,46.4,46.0,45.9,9,0,60.4,1.5,2.49,,14
Iceland,375318,1.7,98.26,47106,,1.81,89.2,27.1,3,1.68,72.6,25.6,84,94,87,100,7,1,50,28,83.12,81.8,84.5,13.1,6.3,52.7,51.3,54.8,45.7,49.4,20,46,75.3,1.8,0.89,13,
India,1428627663,2.0,76.24,1163,13.71,1.66,59.6,21.7,1,1.55,52.5,21.9,53,46,30,68,62,100,27,61,67.24,65.8,68.9,16.4,9.4,43.6,55.5,59.5,59.3,55.1,22,39,40.4,,3.08,3,80
Indonesia,277534122,2.1,78.49,2355,11.67,1.66,61.4,22.4,0,1.54,56.2,23.7,59,45,30,89,40,92,36,66,67.57,65.5,69.7,16.4,10.1,60.6,41.3,44.1,52.6,34.3,22,35,52.8,,0.43,5.1,93
Iran,89172767,1.7,80.01,4545,11.95,1.75,77.3,25.3,1,1.61,70.5,27.2,18,13,54,65,58,20,34,76,73.88,71.2,76.8,13.7,6.4,,,,,,25,35,48.8,2.1,2.50,,78
Iraq,45504560,3.4,89.28,3757,,1.73,83.2,27.8,1,1.58,74.4,29.7,23,13,41,50,37,89,22,77,70.38,68.2,72.4,27.4,4.8,,,,,,15,15,49.4,,10.07,,82
Ireland,5056935,1.8,95.13,43903,12.78,1.79,89.2,28.0,2,1.64,73.1,27.1,82,93,81,99,2,1,54,23,82.10,80.2,84.1,11.6,6.6,,,,,,12.5,52,69.1,0.7,0.87,11.1,22
Israel,9174520,2.9,92.43,29009,13.60,1.76,85.4,27.7,0,1.62,71.1,27.1,52,75,83,69,81,1,48,38,82.50,80.5,84.6,19.7,5.4,,,,,,23,50,74.7,1.8,1.49,10.6,36
Italy,58870762,1.3,94.23,32104,13.07,1.74,80.9,26.7,1,1.61,64.8,24.9,65,66,87,91,57,41,65,44,82.80,80.6,85.1,6.8,12.0,51.3,55.2,54.4,50.8,44.0,27.9,47,64.1,1.4,0.57,11.8,21
Ivory Coast,28873034,4.3,58.16,1289,,,,,,,,,46,36,12,68,53,87,30,60,58.60,57.4,59.9,33.9,9.0,,,,,,25,0,50.5,,,,
Jamaica,2825544,1.3,75.08,,,,,,1,,,,56,52,42,45,73,70,32,56,70.50,,,,,,,,,,33.3,25,57,1.2,43.85,,
